County,Fully Reported
Appling,0
Atkinson,0
Bacon,0
Baker,0
Baldwin,0
Banks,0
Barrow,0
Bartow,0
Ben Hill,0
Berrien,0
Bibb,0
Bleckley,0
Brantley,0
Brooks,0
Bryan,0
Bulloch,0
Burke,0
Butts,0
Calhoun,0
Camden,0
Candler,0
Carroll,0
Catoosa,0
Charlton,0
Chatham,0
Chattahoochee,0
Chattooga,0
Cherokee,0
Clarke,0
Clay,0
Clayton,0
Clinch,0
Cobb,0
Coffee,0
Colquitt,0
Columbia,0
Cook,0
Coweta,0
Crawford,0
Crisp,0
Dade,0
Dawson,0
Decatur,0
DeKalb,0
Dodge,0
Dooly,0
Dougherty,0
Douglas,0
Early,0
Echols,0
Effingham,0
Elbert,0
Emanuel,0
Evans,0
Fannin,0
Fayette,0
Floyd,0
Forsyth,0
Franklin,0
Fulton,0
Gilmer,0
Glascock,0
Glynn,0
Gordon,0
Grady,0
Greene,0
Gwinnett,0
Habersham,0
Hall,0
Hancock,0
Haralson,0
Harris,0
Hart,0
Heard,0
Henry,0
Houston,0
Irwin,0
Jackson,0
Jasper,0
Jeff Davis,0
Jefferson,0
Jenkins,0
Johnson,0
Jones,0
Lamar,0
Lanier,0
Laurens,0
Lee,0
Liberty,0
Lincoln,0
Long,0
Lowndes,0
Lumpkin,0
Macon,0
Madison,0
Marion,0
McDuffie,0
McIntosh,0
Meriwether,0
Miller,0
Mitchell,0
Monroe,0
Montgomery,0
Morgan,0
Murray,0
Muscogee,0
Newton,0
Oconee,0
Oglethorpe,0
Paulding,0
Peach,0
Pickens,0
Pierce,0
Pike,0
Polk,0
Pulaski,0
Putnam,0
Quitman,0
Rabun,0
Randolph,0
Richmond,0
Rockdale,0
Schley,0
Screven,0
Seminole,0
Spalding,0
Stephens,0
Stewart,0
Sumter,0
Talbot,0
Taliaferro,0
Tattnall,0
Taylor,0
Telfair,0
Terrell,0
Thomas,0
Tift,0
Toombs,0
Towns,0
Treutlen,0
Troup,0
Turner,0
Twiggs,0
Union,0
Upson,0
Walker,0
Walton,0
Ware,0
Warren,0
Washington,0
Wayne,0
Webster,0
Wheeler,0
White,0
Whitfield,0
Wilcox,0
Wilkes,0
Wilkinson,0
Worth,0
